Date,1m-Libor,EWJ,GLD,MUB,VNQ,DBA,EWL,GOVT,QQQ,VNQI,EWA,EWQ,GWX,SPY,VWO,EWC,EWT,HYEM,TIP,VWOB,EWG,EWU,HYG,UNG,WIP,EWH,EWY,IWM,USO
6/4/2013,0.19328,38.90223312,135.2299957,87.87696838,49.80379868,25.05416489,24.53376961,21.90950584,67.34796906,39.9770813,17.04799843,20.48868179,20.65722084,139.1474762,33.09024811,23.16493034,22.48134804,15.37055588,99.60836792,55.05892563,21.6472683,26.82504463,59.42991638,85.23999786,49.36154556,15.21227932,50.81163025,87.2616272,265.6000061
6/5/2013,0.19328,37.41957092,135.5200043,88.07294464,49.39226532,24.86908531,24.25404358,21.96237564,66.47151947,38.97027969,16.4878006,20.14557457,20.31281471,137.1992645,32.41605377,22.84817505,22.26755714,15.43697071,99.728508,54.68667984,21.38297844,26.41322136,58.91512299,85.40000153,49.20598602,14.75106812,49.94597244,86.14497375,266.0799866
6/6/2013,0.19288,37.38426208,136.5299988,88.2771225,50.18696976,25.12235451,24.39390945,21.97120094,66.79443359,39.09254074,16.61920357,20.35797501,20.31281471,138.44133,32.74918365,22.98988152,22.44845963,15.47922802,99.61693573,54.39714432,21.63075066,26.48422241,59.37841797,82.36000061,49.47620392,14.80487442,50.16457367,87.05618286,268.9599915
6/7/2013,0.19238,38.83163071,133.2799988,88.04030609,50.19406509,25.151577,24.70654488,21.85661697,67.70779419,39.81167603,16.51546097,20.51319122,20.50568581,140.2024384,32.60641861,23.05656624,22.51424217,15.44904518,99.03358459,54.12830734,21.87026978,26.72563744,59.41703033,81.72000122,49.37794113,14.75875568,49.41258621,87.72618866,273.2799988
6/10/2013,0.1925,39.32585526,133.9400024,87.50128174,49.76122665,25.07364845,24.73945427,21.84780502,67.73548889,39.20040894,16.35639572,20.50502205,20.5952282,140.2024384,32.14639664,23.12325478,22.43201447,15.2800045,98.34728241,53.59748077,21.99415588,26.6688385,59.29474258,81.12000275,48.8866272,14.64344978,48.85297012,88.26217651,272
6/11/2013,0.1925,38.54921722,133.25,87.84428406,49.02329636,25.11261368,24.50909042,21.89186096,67.0619812,38.12889481,16.10050201,20.28445244,20.28526688,138.7561188,31.51187515,22.83149529,22.18532753,14.91172886,98.29579926,52.73579788,21.78767776,26.41322136,58.92798996,79.59999847,48.78836441,14.42053413,48.19716644,87.30635834,270.3200073
6/12/2013,0.1925,38.65512085,134.25,87.00307465,48.3563118,24.91778946,24.53376961,21.83018494,66.28701019,37.87719345,16.09358597,20.25994492,20.30593109,137.607666,31.29771233,22.58143425,22.0702076,15.00229454,97.54085541,53.42515182,21.66378975,26.41322136,58.97305679,80.51999664,48.78016663,14.44359589,47.80368423,86.43977356,272.2399902
6/13/2013,0.1925,39.57296371,133.7400055,87.57479858,49.61222458,24.82037735,24.64895248,21.90950584,67.12657166,38.79768753,16.59845734,20.554039,20.63655472,139.7004547,32.01948547,23.03155899,22.13598824,15.47319412,98.28721619,53.93527985,21.90330696,26.73983765,59.64868546,81.40000153,49.2141571,14.70494556,48.03976822,87.96738434,274.6400146
6/14/2013,0.1925,38.33740997,134.4299927,87.63194275,49.79671097,24.68400383,24.56668091,21.9359436,66.68370056,38.78330612,16.55696297,20.35797501,20.37481117,138.8241882,31.55946159,22.82316399,21.77418137,15.51544762,98.20146179,54.56948471,21.67205048,26.55523109,59.71944809,79.87999725,49.50893402,14.5512104,47.37522888,87.28845978,277.9200134
6/17/2013,0.1916,39.36115265,133.7700043,87.39510345,49.93861389,24.69374466,24.81349945,21.90950584,67.32952118,38.96308517,16.81977081,20.69291878,20.63655472,139.8961487,31.78153229,23.01489067,22.0702076,15.45507336,97.88401794,54.26616287,21.97764015,26.69723701,59.71303177,82.80000305,49.34518051,14.83562183,47.65503693,87.86018372,278.0799866
6/18/2013,0.1916,40.03187561,132.1300049,86.98675537,50.19406509,24.73270798,24.93690681,21.88306618,67.8830719,39.34423447,16.72294426,20.80728912,20.76054192,141.0020905,31.85292053,23.10658264,22.18532753,15.43697071,98.14997101,53.84566116,22.16759872,26.81084442,59.86100388,83.27999878,49.12408829,14.98167324,47.91735458,88.89645386,279.6799927
6/19/2013,0.1916,39.53765869,130.5899963,86.52938843,48.65432739,25.00546074,24.62427139,21.7949276,67.12657166,38.40935898,16.30106544,20.34980392,20.44369316,139.053894,30.83769417,22.77314949,21.79062843,15.38263035,96.84598541,53.22520447,21.67205048,26.29961586,58.9666214,84.19999695,48.53449249,14.6741991,46.68444061,87.80657196,278.2399902
6/20/2013,0.193,37.91379166,123.5999985,85.0022049,46.63208771,24.56711006,23.92495155,21.71561241,65.53048706,36.61869431,15.56796837,19.60639381,19.69978714,135.6083527,29.49726105,22.02293968,20.90255737,15.08077621,95.86804962,52.03956604,20.96175957,25.50438118,58.38751602,82.80000305,47.38808441,14.0515604,44.90066147,85.48390198,269.0400085
6/21/2013,0.193,39.29055405,125.0500031,83.54026794,47.26360321,24.6450386,23.60408974,21.59222412,65.18252563,36.94229126,15.71320534,19.4511795,19.90858459,136.0437164,30.02075195,21.93958092,21.03412056,15.04455376,94.74414825,51.85342026,20.6561718,25.43338013,58.00786591,80.87999725,46.97046661,14.07462311,44.85694504,85.73403168,265.8399963
6/24/2013,0.19535,38.19620132,123.9300003,82.77256775,47.04940414,24.56711006,23.25031471,21.5657959,64.5346756,36.3563118,15.63021374,19.10806656,19.52705956,134.3246765,29.34226036,21.59781837,20.70520782,14.6823225,94.38384247,51.32950974,20.37535667,25.10676384,57.29360962,79.87999725,46.79031372,13.85939217,43.85137558,84.6084137,269.1199951
6/25/2013,0.19435,38.69042206,123.4700012,83.97312164,47.83737564,24.61581612,23.57940674,21.54817009,65.00666046,36.91852188,15.91376781,19.30412483,19.7282238,135.6160889,29.90499115,21.8312149,21.2808075,14.95398808,94.54685211,51.41911697,20.61487579,25.40497589,58.11082458,78.19999695,46.8640213,14.11306,44.64707947,85.42136383,269.9200134
