Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1/2/2008,41.15054993,41.70440592,41.04308793,41.1257515,61800,0,0
1/3/2008,41.16707887,41.31174167,41.0265502,41.04721451,64800,0,0
1/4/2008,41.33657254,41.3531059,40.85298062,41.00177765,48600,0,0
1/7/2008,41.12161671,41.12161671,40.62976314,40.75789261,177200,0,0
1/8/2008,41.12165046,41.12165046,40.50579788,40.52233124,42100,0,0
1/9/2008,40.70829125,40.70829125,40.06350664,40.08003998,51600,0,0
1/10/2008,40.16271702,40.57604128,40.07178518,40.3776474,154800,0,0
1/11/2008,40.43963398,40.71242944,40.22057269,40.46443558,71700,0,0
1/14/2008,40.35698409,40.53471366,40.24951889,40.32391739,20600,0,0
1/15/2008,40.48511506,40.48511506,40.34045218,40.42724991,20000,0,0
1/16/2008,40.43964386,40.46444546,40.26191746,40.38177872,20700,0,0
1/17/2008,40.29910848,40.29910848,40.09658051,40.09658051,31600,0,0
1/18/2008,40.28669499,40.8984128,40.1048314,40.41069031,84500,0,0
1/22/2008,39.96845011,40.44790771,38.56315031,40.1296463,192400,0,0
1/23/2008,40.02631581,40.33630897,39.27406586,40.20817947,59600,0,0
1/24/2008,40.19991928,40.71244049,40.04285404,40.71244049,62700,0,0
1/25/2008,40.55124148,41.12576192,40.11724977,40.77443695,43700,0,0
1/28/2008,40.71244613,40.71244613,40.2991218,40.58844757,44800,0,0
1/29/2008,40.41484941,40.65044414,40.41484941,40.62977982,39200,0,0
1/30/2008,40.67938095,40.81164461,40.4768529,40.78684616,27400,0,0
1/31/2008,40.56364394,40.86950302,40.40244773,40.86950302,76500,0,0
2/1/2008,40.96271416,40.98768026,40.36350239,40.89197159,83100,0.664,0
2/4/2008,40.46754288,40.93775586,40.46754288,40.9003067,44900,0,0
2/5/2008,40.69223084,40.69223084,40.36349683,40.57155609,66300,0,0
2/6/2008,40.64648536,40.65896842,40.43842596,40.48836136,101100,0,0
2/7/2008,40.32189584,40.48834393,39.94738844,40.31773376,58100,0,0
2/8/2008,40.1554712,40.1554712,39.94741177,40.01399231,80400,0,0
