Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
9/10/2007,67.36893075,68.35251652,67.36893075,68.28514862,14700,0,0
9/11/2007,68.23799244,68.27167383,68.0965183,68.12346649,43500,0,0
9/12/2007,68.34579464,68.34579464,68.15042922,68.25821686,86500,0,0
9/13/2007,68.21101792,68.21101792,67.94827959,67.99543762,15600,0,0
9/14/2007,68.31209296,68.31209296,68.0089297,68.04935455,49500,0,0
9/17/2007,68.06288584,68.06288584,67.86751516,67.93488312,27300,0,0
9/18/2007,67.96849408,67.96849408,67.7596521,67.88764954,134000,0,0
9/19/2007,67.6720828,67.83377192,67.59797657,67.80682373,30200,0,0
9/20/2007,67.69904563,67.69904563,67.14662053,67.17356873,30200,0,0
9/21/2007,67.30826579,67.4362632,67.29478913,67.39584351,37000,0,0
9/24/2007,67.34198802,67.38240773,67.33524968,67.36219788,28700,0,0
9/25/2007,67.62493968,67.63841635,67.49020386,67.49020386,47700,0,0
9/26/2007,67.31505276,67.57105806,67.31505276,67.503685,47000,0,0
9/27/2007,67.46324947,69.18789252,67.46324947,67.69230652,47600,0,0
9/28/2007,67.93482202,67.93482202,67.61819238,67.84724426,43200,0,0
10/1/2007,67.65189091,67.77315521,67.65189091,67.77315521,36200,0,0
10/2/2007,67.77315936,67.97526826,67.75968783,67.94158173,15600,0,0
10/3/2007,67.93488838,67.97531327,67.70583628,67.90120697,38200,0,0
10/4/2007,67.87418903,68.47377202,67.79334447,68.01566315,79400,0,0
10/5/2007,67.61816259,67.71247864,67.50363157,67.71247864,50800,0,0
10/8/2007,67.71925415,67.88767649,67.60472819,67.8809433,14800,0,0
10/9/2007,67.70574951,67.77311739,67.61143346,67.70574951,23200,0,0
10/10/2007,67.77316892,67.90790992,67.66538126,67.86748505,15600,0,0
10/11/2007,67.66532373,67.90785217,67.66532373,67.90785217,19000,0,0
10/12/2007,67.73271785,67.90787849,67.71250799,67.73945618,28200,0,0
10/15/2007,67.75294337,67.78662989,67.67209879,67.7596817,32300,0,0
10/16/2007,67.69230465,67.90114669,67.69230465,67.85398865,36000,0,0
10/17/2007,67.94157632,68.20431478,67.94157632,68.18410492,27700,0,0
