Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-06-04,55.25194467755757,55.25194467755757,55.03824050824506,55.05892562866211,12300,0.0,0
2013-06-05,55.052038126865334,55.052038126865334,54.68667984008789,54.68667984008789,25400,0.0,0
2013-06-06,54.85211704319394,54.85211704319394,54.18344014619617,54.39714431762695,56800,0.0,0
2013-06-07,54.459201004530506,54.459201004530506,53.873248627876016,54.1283073425293,45900,0.0,0
2013-06-10,54.27994240054462,54.27994240054462,53.36999181192817,53.59748077392578,81000,0.0,0
2013-06-11,53.25971054935066,53.25971054935066,52.535883768787684,52.73579788208008,33500,0.0,0
2013-06-12,53.98352914812163,53.98352914812163,53.42515182495117,53.42515182495117,7300,0.0,0
2013-06-13,53.76294062929846,53.935279846191406,53.5285618188243,53.935279846191406,108500,0.0,0
2013-06-14,54.211016243250185,54.66599423822618,54.211016243250185,54.56948471069336,31100,0.0,0
2013-06-17,54.97619946592301,54.97619946592301,54.26616287231445,54.26616287231445,14500,0.0,0
2013-06-18,54.176549488806415,54.176549488806415,53.84566116333008,53.84566116333008,9600,0.0,0
2013-06-19,54.0179653417399,54.059325040763156,53.087335298114795,53.22520446777344,11300,0.0,0
2013-06-20,53.42517528456106,53.42517528456106,51.94305646672681,52.03956604003906,21400,0.0,0
2013-06-21,52.94260528314447,52.94260528314447,51.63282628802922,51.85342025756836,57800,0.0,0
2013-06-24,52.21878069086904,52.21878069086904,50.66083275802792,51.32950973510742,30200,0.0,0
2013-06-25,51.49494663641297,51.70175576321566,51.35707739146089,51.41911697387695,5300,0.0,0
2013-06-26,51.83962593298529,51.83962593298529,51.63971710205078,51.63971710205078,4100,0.0,0
2013-06-27,52.384214036193065,52.3911090758015,52.14294024363988,52.30149459838867,10700,0.0,0
2013-06-28,51.901655123506615,52.418672534441484,51.901655123506615,52.41177749633789,26400,0.0,0
2013-07-01,52.494043975891685,52.798118591308594,52.494043975891685,52.798118591308594,11500,0.189,0
2013-07-02,53.143631302582925,53.143631302582925,52.89484405517578,52.89484405517578,14900,0.0,0
2013-07-03,53.2956685396073,53.2956685396073,52.84646904998441,52.89484405517578,8600,0.0,0
2013-07-05,52.90177017933143,52.90177017933143,52.203783258868846,52.300533294677734,13400,0.0,0
2013-07-08,52.507869074752215,52.507869074752215,52.18306305380853,52.418025970458984,25000,0.0,0
2013-07-09,52.68061745254994,52.79809886552993,52.52166797956242,52.7289924621582,2800,0.0,0
