Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
5/26/2000,34.43687297,34.57868576,34.27142471,34.57868576,74800,0,0
5/30/2000,35.07503668,35.85500717,35.07503668,35.85500717,57600,0,0
5/31/2000,35.97316381,36.44587293,35.97316381,35.98498154,36000,0,0
6/1/2000,36.72361501,36.8004303,36.72361501,36.8004303,7000,0,0
6/2/2000,38.46672474,38.71489716,38.46672474,38.71489716,29400,0,0
6/5/2000,38.62034527,38.99851266,38.52580342,38.57307434,48400,0,0
6/6/2000,39.18167861,39.63666116,38.83305563,38.95123291,151800,0,0
6/7/2000,38.71490187,38.99852753,38.3603698,38.99852753,131000,0,0
6/8/2000,39.42396055,39.42396055,38.90398026,38.90398026,91400,0,0
6/9/2000,39.28215158,39.58941269,39.25851611,39.58941269,41600,0,0
6/12/2000,39.70758555,39.70758555,38.38399937,38.4135437,85200,0,0
6/13/2000,38.31900242,38.90398026,37.95856154,38.90398026,168200,0,0
6/14/2000,39.22305973,39.22305973,38.71489716,38.71489716,43200,0,0
6/15/2000,38.47854705,38.7621727,38.10628837,38.7621727,26800,0,0
6/16/2000,38.92760202,38.95123748,38.54943466,38.54943466,30200,0,0
6/19/2000,38.76216633,39.51850128,38.58490032,39.51850128,59200,0,0
6/20/2000,39.57759429,39.83758446,39.42396374,39.77849579,47000,0,0
6/21/2000,39.44644965,40.06132237,39.44644965,39.99037552,66800,0.03,0
6/22/2000,40.10863982,40.10863982,38.78429794,38.78429794,139600,0,0
6/23/2000,39.16267269,39.16267269,38.21671441,38.52415085,235800,0,0
6/26/2000,38.6778742,38.99713516,38.500507,38.99713516,93600,0,0
6/27/2000,39.05624692,39.39915675,38.38225174,38.38225174,112800,0,0
6/28/2000,38.54779934,39.4937576,38.54779934,39.35186386,170600,0,0
6/29/2000,39.16268854,39.23363544,38.61876231,38.73700714,212200,0,0
6/30/2000,38.76062172,39.10944366,38.44136095,39.10944366,1171800,0,0
7/3/2000,39.0207799,39.65930176,38.97348199,39.65930176,15800,0,0
7/5/2000,39.43462597,39.44645045,39.07397947,39.20996094,138800,0,0
7/6/2000,39.22178957,39.67111969,38.85523079,39.67111969,154600,0,0
7/7/2000,39.67703561,40.07315562,39.67703561,39.91943741,71800,0,0
7/10/2000,39.89578182,40.32146296,39.89578182,40.17956924,44800,0,0
7/11/2000,40.10862186,40.3332869,39.9903771,40.13227081,253200,0,0
7/12/2000,40.34512399,40.93634796,40.29782607,40.93634796,45200,0,0
7/13/2000,40.97182186,41.06641769,40.86540154,41.06641769,102600,0,0
7/14/2000,41.27926159,41.27926159,40.77080892,41.10189438,54800,0,0
7/17/2000,41.13735412,41.31472127,41.03093384,41.24377441,46600,0,0
7/18/2000,40.97182663,40.97182663,40.53432083,40.53432083,235400,0,0
7/19/2000,40.40424769,40.40424769,39.82484818,39.82484818,35400,0,0
7/20/2000,40.20322728,40.48701477,40.20322728,40.48701477,150400,0,0
7/21/2000,40.25051473,40.25051473,39.37550354,39.37550354,150600,0,0
7/24/2000,39.58833317,39.58833317,38.71923446,38.80200577,37000,0,0
7/25/2000,39.10946452,39.10946452,38.6423976,38.87888718,36800,0,0
7/26/2000,38.59508184,38.80792236,38.19304974,38.80792236,15800,0,0
7/27/2000,38.73108416,38.73108416,37.74374008,37.74374008,275000,0,0
7/28/2000,37.96248172,37.96248172,36.98696242,37.08155823,171600,0,0
7/31/2000,37.27074894,38.02751541,36.84506779,38.02751541,166400,0,0
8/1/2000,37.74373189,37.88562562,37.56636473,37.77920532,263400,0,0
8/2/2000,37.55454185,38.05116992,37.45994602,37.83832932,388600,0,0
8/3/2000,37.10520207,37.88561741,37.10520207,37.81467056,1084200,0,0
8/4/2000,38.26400659,38.27583107,37.77920305,38.0038681,570400,0,0
8/7/2000,38.14576528,38.70742798,38.14576528,38.70742798,88200,0,0
8/8/2000,38.59509772,38.7133425,38.52415085,38.52415085,49600,0,0
8/9/2000,38.80792412,38.80792412,38.2462616,38.2462616,23000,0,0
8/10/2000,38.25218046,38.28765389,37.90927065,38.02751541,43000,0,0
8/11/2000,37.64913564,38.68968964,37.64913564,38.68968964,176000,0,0
8/14/2000,38.5714436,39.09172058,38.54779464,39.09172058,56800,0,0
8/15/2000,39.00895447,39.06807686,38.52415085,38.52415085,189200,0,0
8/16/2000,38.68967274,38.99710902,38.54777908,38.71332169,219400,0,0
8/17/2000,38.85523647,39.23361979,38.76064065,39.06807709,358800,0,0
8/18/2000,39.20996922,39.30456505,38.92618175,39.00895309,52200,0,0
8/21/2000,39.25725722,39.29273065,38.90252297,39.15083694,129200,0,0
8/22/2000,39.17449192,39.42280593,39.09172058,39.09172058,195600,0,0
8/23/2000,39.04443633,39.16268114,38.87889359,39.03261185,153000,0,0
8/24/2000,39.24544449,39.82484394,39.24544449,39.61200333,276200,0,0
8/25/2000,39.63564078,39.87213029,39.51739603,39.77753448,208600,0,0
8/28/2000,39.96672497,40.20321447,39.77753338,39.84848022,156000,0,0
8/29/2000,39.94309919,40.22688675,39.82485437,40.22688675,140200,0,0
8/30/2000,40.19138335,40.41604834,40.04948968,40.27415466,619000,0,0
8/31/2000,40.41607753,40.98365264,40.41607753,40.67621613,151200,0,0
9/1/2000,40.86538094,41.07822147,40.67027713,41.00727463,186800,0,0
9/5/2000,40.95408044,41.07823746,40.72350311,40.72350311,110400,0,0
9/6/2000,40.91267452,40.91267452,40.48699351,40.54611588,217800,0,0
9/7/2000,40.72350395,41.17283414,40.72350395,41.14918518,213800,0,0
9/8/2000,40.94224895,41.03093252,40.43970871,40.43970871,128600,0,0
9/11/2000,40.64664523,40.80036345,40.34512103,40.48701477,314600,0,0
9/12/2000,40.72351157,40.72351157,40.29783026,40.35695267,93000,0,0
9/13/2000,40.17956209,40.62889209,40.17956209,40.55794525,81200,0,0
9/14/2000,40.73531884,40.94815941,40.55203947,40.79444122,114000,0,0
9/15/2000,40.58161529,40.62891321,39.96674233,40.03768921,67000,0,0
9/18/2000,40.21504589,40.21504589,38.97938805,39.09172058,201400,0,0
9/19/2000,39.34002082,39.89577104,39.07397019,39.73022842,54800,0,0
9/20/2000,39.72303312,39.72303312,39.20098609,39.41455078,40400,0.178,0
9/21/2000,39.48573979,39.48573979,38.67893982,38.67893982,207400,0,0
9/22/2000,37.96705388,39.17725372,37.96705388,39.17725372,127600,0,0
9/25/2000,39.62218767,39.62218767,39.20099059,39.22472,113800,0,0
9/26/2000,39.20099947,39.20099947,38.4653875,38.66708755,65200,0,0
9/27/2000,38.84504255,39.03487782,38.34672496,38.48910141,43600,0,0
9/28/2000,38.58400796,39.60437226,38.56027856,39.53318405,121000,0,0
9/29/2000,39.49760206,39.63404617,39.3433609,39.3433609,130400,0,0
10/2/2000,39.6399672,39.6399672,38.70265579,38.70265579,169600,0,0
10/3/2000,39.17132075,39.17132075,38.13909149,38.13909149,151000,0,0
10/4/2000,38.31113019,38.40604782,37.82467731,38.40604782,99800,0,0
10/5/2000,38.4416443,38.58402076,37.99078551,38.01451492,408800,0,0
10/6/2000,38.08571638,38.08571638,37.04162197,37.08908081,185600,0,0
10/9/2000,37.11279813,37.11279813,36.68566873,37.00601578,361800,0,0
10/10/2000,37.05347694,37.24924459,36.11616516,36.11616516,420400,0,0
